epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.41983798146247864,1.0787800550460815,0.001,0.45738065242767334,1.0219602584838867
1,0.5292953848838806,0.9209121465682983,0.001,0.4974874258041382,0.8705381155014038
2,0.5799736380577087,0.8417565822601318,0.001,0.6160804033279419,0.783707320690155
3,0.6064745187759399,0.7974453568458557,0.001,0.6216080188751221,0.7635293006896973
4,0.6156430840492249,0.7803977727890015,0.001,0.6428706049919128,0.7342928647994995
5,0.6229276657104492,0.7681580185890198,0.001,0.6336055397987366,0.7643142342567444
6,0.6235556602478027,0.7648704051971436,0.001,0.6539573073387146,0.7156897187232971
7,0.6316566467285156,0.7552388310432434,0.001,0.6604585647583008,0.7076923847198486
8,0.6363978981971741,0.7452754378318787,0.001,0.6554020047187805,0.7083304524421692
9,0.644310474395752,0.7324829697608948,0.001,0.6645728349685669,0.7032589316368103
10,0.6460060477256775,0.7271246910095215,0.001,0.6811243891716003,0.6718077063560486
11,0.6557711362838745,0.7105035185813904,0.001,0.6670854091644287,0.6837869882583618
12,0.6601042747497559,0.7078146934509277,0.001,0.677763819694519,0.6630558371543884
13,0.6678284406661987,0.6988604068756104,0.001,0.6367462277412415,0.738252580165863
14,0.6664154529571533,0.6913935542106628,0.001,0.6806532740592957,0.668245255947113
15,0.6791949272155762,0.6790205836296082,0.001,0.6931846737861633,0.6529091596603394
16,0.6790065169334412,0.6774320006370544,0.001,0.6994346976280212,0.6334918141365051
17,0.6845641732215881,0.6713910102844238,0.001,0.6510364413261414,0.7162057757377625
18,0.6783471703529358,0.6760203838348389,0.001,0.7055904269218445,0.6304680705070496
19,0.6884890794754028,0.6665050983428955,0.001,0.7053391933441162,0.628451406955719
20,0.695396900177002,0.6560108065605164,0.001,0.7092650532722473,0.6164930462837219
21,0.6922255754470825,0.6575360894203186,0.001,0.6969849467277527,0.6441178917884827
22,0.6950514912605286,0.653106689453125,0.001,0.7098618149757385,0.6164794564247131
23,0.6930419206619263,0.652320146560669,0.001,0.712060272693634,0.6193276643753052
24,0.6911579966545105,0.65572589635849,0.001,0.6966394186019897,0.6444050073623657
25,0.7098404765129089,0.6254591345787048,0.00020000001,0.7246231436729431,0.592477560043335
26,0.710908055305481,0.620130181312561,0.00020000001,0.7251256108283997,0.5925021171569824
27,0.7086158990859985,0.6195895075798035,0.00020000001,0.7197550535202026,0.5961389541625977
28,0.7140479683876038,0.6168174147605896,0.00020000001,0.7231469750404358,0.5918802618980408
29,0.7140479683876038,0.6159048080444336,0.00020000001,0.7235238552093506,0.5934953093528748
